Sl. No. ( Col. 1 ),State/UT ( Col. 2 ),Cases Pending Trial from the Previous Year ( Col. 3 ),Cases Sent for Trial during the year ( Col. 4 ),Total Cases for Trial (Col.3+Col.4) ( Col. 5 ),Cases Abated by Court ( Col. 6 ),Cases Withdrawn from Prosecution ( Col. 7 ),Cases Compounded or Compromised ( Col. 8 ),Cases Disposed off by Plea Bargaining ( Col. 9 ),Cases Quashed ( Col. 10 ),Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) ( Col. 11 ),Cases Stayed or Sent to Record Room ( Col. 12 ),Cases Convicted Out of Cases from Previous Year ( Col. 13 ),Cases Convicted Out of Cases during the Year ( Col. 14 ),Cases Convicted (Col.13+Col.14) ( Col. 15 ),Cases Discharged ( Col. 16 ),Cases Acquitted ( Col. 17 ),Cases in which Trials were Completed (Col.15+Col.16 +Col.17) ( Col. 18 ),Cases Disposed off by Courts (Col.11+Col.18) ( Col. 19 ),Cases Pending Trial at End of the Year (Col.5-Col.19) ( Col. 20 ),Conviction Rate (Col.15/Col.18)*100 ( Col. 21 ),Pendency Percentage (Col.20/Col.5)*100 ( Col. 22 )
1,Andhra Pradesh,1414,513,1927,4,0,23,0,0,27,0,1,1,2,10,120,132,159,1768,1.5,91.7
2,Arunachal Pradesh,13,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,100
3,Assam,2091,521,2612,17,32,103,3,1,156,1,2,0,2,1,120,123,279,2333,1.6,89.3
4,Bihar,2817,2052,4869,0,0,0,0,0,0,0,0,2,2,1,1,4,4,4865,50,99.9
5,Chhattisgarh,928,389,1317,1,0,0,0,0,1,0,0,5,5,2,30,37,38,1279,13.5,97.1
6,Goa,78,18,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,NA,100
7,Gujarat,3211,945,4156,0,0,0,0,8,8,0,4,0,4,1,81,86,94,4062,4.7,97.7
8,Haryana,1448,547,1995,0,0,0,0,1,1,0,14,0,14,0,53,67,68,1927,20.9,96.6
9,Himachal Pradesh,270,33,303,0,1,0,0,2,3,0,2,0,2,0,10,12,15,288,16.7,95
10,Jharkhand,1681,551,2232,0,0,0,0,0,0,0,113,1,114,1,184,299,299,1933,38.1,86.6
11,Karnataka,1749,2767,4516,4,0,2028,0,1,2033,0,11,33,44,0,60,104,2137,2379,42.3,52.7
12,Kerala,1679,386,2065,0,0,0,0,9,9,0,6,0,6,46,72,124,133,1932,4.8,93.6
13,Madhya Pradesh,2681,445,3126,1,0,29,0,13,43,0,73,9,82,22,105,209,252,2874,39.2,91.9
14,Maharashtra,7738,1914,9652,10,0,20,0,4,34,0,7,3,10,3,120,133,167,9485,7.5,98.3
15,Manipur,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,100
16,Meghalaya,44,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,NA,100
17,Mizoram,33,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,NA,100
18,Nagaland,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,100
19,Odisha,1621,295,1916,0,0,0,0,0,0,0,5,0,5,0,34,39,39,1877,12.8,98
20,Punjab,571,197,768,0,0,0,0,5,5,1,3,2,5,4,40,49,54,714,10.2,93
21,Rajasthan,2448,763,3211,0,0,0,0,0,0,0,43,1,44,19,48,111,111,3100,39.6,96.5
22,Sikkim,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,50
23,Tamil Nadu,799,290,1089,4,1,0,0,1,6,0,21,6,27,0,58,85,91,998,31.8,91.6
24,Telangana,3134,2439,5573,5,0,301,0,0,306,0,19,3,22,0,650,672,978,4595,3.3,82.5
25,Tripura,30,16,46,0,0,0,0,0,0,0,0,1,1,0,2,3,3,43,33.3,93.5
26,Uttar Pradesh,20690,4582,25272,81,0,4,30,0,115,0,372,71,443,282,87,812,927,24345,54.6,96.3
27,Uttarakhand,517,239,756,0,0,3,0,1,4,1,19,3,22,1,11,34,38,718,64.7,95
28,West Bengal,1457,296,1753,0,0,0,0,0,0,0,0,0,0,0,15,15,15,1738,0,99.1
Total State(S),Total State(S),59153,20218,79371,127,34,2511,33,46,2751,3,715,141,856,393,1902,3151,5902,73469,27.2,92.6
29,Andaman and Nicobar Islands,28,24,52,0,0,0,0,0,0,0,0,0,0,0,2,2,2,50,0,96.2
30,Chandigarh,37,10,47,0,0,0,0,2,2,0,1,0,1,0,2,3,5,42,33.3,89.4
31,Dadra and Nagar Haveli and Daman and Diu,11,5,16,0,0,1,0,0,1,0,0,0,0,0,0,0,1,15,NA,93.8
32,Delhi,655,197,852,1,0,0,0,2,3,0,24,2,26,1,19,46,49,803,56.5,94.2
33,Jammu and Kashmir,173,63,236,0,0,1,0,0,1,0,3,0,3,1,4,8,9,227,37.5,96.2
34,Ladakh,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36,Puducherry,22,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,NA,100
Total UT (S),Total UT (S),927,308,1235,1,0,2,0,4,7,0,28,2,30,2,27,59,66,1169,50.8,94.7
Total All India,Total All India,60080,20526,80606,128,34,2513,33,50,2758,3,743,143,886,395,1929,3210,5968,74638,27.6,92.6
